GHI,GTI,TEMP,WS,WD,RH,PREC,AP,PWAT,SWE,PVOUT
639,678,25.5,6.9,23,77.6,0.3,1002.3,36.2,581.11,27749.572
603,640,25.4,7.1,24,77.6,0.3,1002,36.7,581.11,26264.648
570,601,25.4,7.2,24,77.6,0.3,1001.8,37.2,581.11,24761.26
542,572,25.3,7.3,24,77.7,0.5,1001.5,37.7,581.11,23629.098
512,541,25.2,7.4,25,77.7,0.5,1001.3,38.2,581.11,22398.453
480,508,25.1,7.4,25,78.1,0.5,1001,38.5,581.11,21063.947
443,469,25,7.4,25,78.4,0.5,1000.8,38.8,581.11,19475.766
401,425,24.9,7.3,25,78.7,0.4,1000.5,39,581.11,17628.039
359,381,24.9,7.3,25,79.1,0.4,1000.3,39.2,581.11,15751.377
317,337,24.8,7.1,24,79.3,0.4,1000.3,39.4,581.11,13846.207
274,293,24.6,7,23,79.5,0.4,1000.3,39.6,581.11,11876.241
230,247,24.5,6.8,22,79.8,0.4,1000.3,39.7,581.11,9847.938
183,198,24.4,6.7,21,80,0.4,1000.3,39.7,581.11,7647.505
132,145,24.2,6.2,20,80.9,0.4,1000.4,39.5,581.11,5278.699
92,104,24,5.8,18,81.7,0.4,1000.4,39.3,581.11,3457.728
62,74,23.8,5.4,16,82.6,0.3,1000.5,39.1,581.11,1660.39
35,45,23.6,5,14,83.5,0.3,1000.6,39,581.11,809.962
10,10,23.4,4.9,12,84.1,0.3,1000.7,39.5,581.11,118.507
8,8,21.9,4.2,1,89.9,0.5,1002.4,36.5,581.11,46.535
24,27,22,4.2,0,89.8,0.5,1002.5,36.4,581.11,457.707
33,37,22.2,4.2,0,89.6,0.5,1002.5,36.2,581.11,677.915
33,38,22.4,4.2,0,89.4,0.4,1002.6,36,581.11,867.465
104,106,22.6,4.2,0,89.2,0.4,1002.6,35.9,581.11,3828.502
134,137,22.9,4.4,4,88.2,0.4,1002.8,36.1,581.11,5196.656
163,167,23.1,4.7,7,87.3,0.4,1003,36.3,581.11,6501.43
191,195,23.4,5,10,86.3,0.4,1003.2,36.5,581.11,7734.007
217,221,23.7,5.3,13,85.4,0.4,1003.3,36.7,581.11,8878.308
241,245,23.9,5.5,14,84.8,0.4,1003.4,36.8,581.11,9936.234
260,264,24,5.7,15,84.1,0.4,1003.5,36.8,581.11,10770.062
274,278,24.2,5.8,17,83.5,0.5,1003.5,36.7,581.11,11384.312
277,281,24.3,6,18,83,0.5,1003.6,36.7,581.11,11469.7
268,268,24.3,6.1,19,83.1,0.5,1003.6,36.7,581.11,10934.723
270,270,24.3,6.2,19,83.2,0.5,1003.5,36.7,581.11,11004.752
284,283,24.3,6.3,20,83.3,0.5,1003.5,36.7,581.11,11580.403
313,313,24.3,6.4,21,83.5,0.5,1003.5,36.7,581.11,12847.791
357,363,24.3,6.6,21,83,0.5,1003.5,36.6,581.11,14943.313
405,413,24.4,6.8,21,82.5,0.5,1003.4,36.5,581.11,17059.408
455,467,24.5,6.9,21,82,0.5,1003.4,36.4,581.11,19306.738
537,559,24.6,7.1,21,81.5,0.5,1003.3,36.3,581.11,23125.783
650,688,24.8,7.3,23,80.5,0.5,1003.1,36.1,581.11,28223.787
716,759,25,7.5,24,79.5,0.5,1002.8,36,581.11,30977.732
735,785,25.2,7.7,25,78.5,0.4,1002.5,35.8,581.11,31947.453
717,766,25.4,7.9,26,77.6,0.4,1002.3,35.7,581.11,31188.746
662,701,25.4,7.9,27,77.6,0.4,1002,35.7,581.11,28695.617
622,658,25.3,7.8,27,77.7,0.4,1001.8,35.7,581.11,26982.412
595,624,25.2,7.8,28,77.8,0.4,1001.5,35.7,581.11,25694.656
573,601,25.1,7.8,28,77.9,0.4,1001.3,35.7,581.11,24786.762
555,582,25,7.7,27,77.8,0.4,1001,35.7,581.11,24044.512
535,562,25,7.7,27,77.6,0.4,1000.8,35.7,581.11,23256.094
514,541,24.9,7.7,26,77.5,0.1,1000.5,35.6,581.11,22419.785
492,518,24.9,7.6,26,77.3,0.1,1000.3,35.5,581.11,21513.643
468,495,24.9,7.4,26,77.3,0.1,1000.1,35.4,581.11,20536.443
440,466,24.8,7.2,26,77.3,0.1,1000,35.2,581.11,19357.844
407,437,24.8,6.9,26,77.3,0.1,999.8,35.1,581.11,18109.307
370,398,24.7,6.7,26,77.3,0.1,999.7,35,581.11,16477.996
329,356,24.7,6.5,26,77.7,0.1,999.6,34.9,581.11,14612.244
288,314,24.6,6.2,27,78,0.1,999.6,34.9,581.11,12749.103
248,272,24.5,6,27,78.4,0.1,999.5,34.8,581.11,10887.056
207,230,24.3,5.8,27,78.8,0.1,999.5,34.8,581.11,8930.192
165,185,24.1,5.6,27,79.9,0.1,999.7,34.6,581.11,6900.781
125,143,23.9,5.5,26,80.9,0.1,999.9,34.5,581.11,4981.492
86,104,23.7,5.4,25,82,0.1,1000.1,34.3,581.11,2561.04
50,63,23.4,5.2,24,83,0.1,1000.3,34.2,581.11,1331.391
14,14,23.2,5.2,23,83.6,0.1,1000.3,34.2,581.11,231.957
9,8,21.5,3.9,342,87.9,0.1,1000.6,38,581.11,60.877
22,22,21.6,3.9,344,87.8,0.1,1000.8,38,581.11,518.517
47,51,21.7,3.9,346,87.6,0.1,1001,38,581.11,1295.151
72,74,21.9,3.9,348,87.4,0.2,1001.2,38,581.11,2421.673
97,99,22.1,3.8,350,87.2,0.2,1001.4,38,581.11,3542.757
124,126,22.4,3.9,353,86.3,0.2,1001.5,37.8,581.11,4741.396
154,156,22.8,4,356,85.5,0.2,1001.6,37.5,581.11,6060.953
186,189,23.1,4.1,359,84.6,0.3,1001.7,37.3,581.11,7496.688
228,233,23.4,4.2,2,83.6,0.3,1001.8,37.2,581.11,9428.935
281,289,23.7,4.4,6,82.8,0.3,1001.9,37.3,581.11,11850.111
324,333,24,4.6,9,81.9,0.3,1002,37.4,581.11,13758.688
355,366,24.2,4.8,12,81.1,0.3,1002.2,37.6,581.11,15167.195
374,385,24.4,5,14,80.2,0.3,1002.3,37.7,581.11,15963.716
380,390,24.4,5.2,15,80.4,0.3,1002.3,37.6,581.11,16158.246
393,403,24.5,5.4,15,80.5,0.3,1002.3,37.4,581.11,16682.676
413,423,24.5,5.6,16,80.7,0.4,1002.3,37.2,581.11,17536.213
444,456,24.5,5.8,17,80.8,0.4,1002.3,37,581.11,18915.562
487,506,24.6,5.9,18,80.4,0.4,1002.1,36.9,581.11,20964.057
521,542,24.7,6,19,80.1,0.4,1001.8,36.8,581.11,22409.336
545,567,24.8,6.1,20,79.7,0.4,1001.5,36.8,581.11,23420.082
567,591,24.9,6.2,21,79.2,0.4,1001.3,36.7,581.11,24367.033
588,613,25,6.4,22,79,0.4,1001.1,36.7,581.11,25255.807
602,629,25,6.6,23,78.8,0.4,1000.9,36.7,581.11,25873.568
610,638,25.1,6.8,24,78.7,0.4,1000.7,36.7,581.11,26224.748
616,645,25.1,7,25,78.5,0.4,1000.5,36.7,581.11,26515.812
622,657,25.1,7,26,78.6,0.4,1000.3,36.7,581.11,26971.936
620,656,25,7.1,27,78.8,0.4,1000,36.8,581.11,26923.236
611,647,25,7.2,27,78.9,0.4,999.8,36.8,581.11,26590.945
598,633,24.9,7.3,28,79.1,0.4,999.5,36.7,581.11,26079.264
581,615,24.9,7.1,28,79.1,0.4,999.2,36.5,581.11,25382.219
564,599,24.9,6.9,28,79.1,0.4,999,36.3,581.11,24748.656
549,584,24.9,6.7,28,79.1,0.3,998.7,36,581.11,24179.189
539,575,24.9,6.5,28,79.1,0.3,998.5,35.7,581.11,23852.412
533,572,24.9,6.4,28,79.1,0.3,998.4,35.5,581.11,23768.146
514,559,24.8,6.3,28,79.2,0.3,998.4,35.2,581.11,23199.775
481,526,24.8,6.2,28,79.2,0.2,998.3,35,581.11,21836.602
441,485,24.7,6.1,28,79.3,0.2,998.3,34.7,581.11,20085.072
394,435,24.6,6,28,79.4,0.2,998.3,34.5,581.11,17936.699
345,385,24.5,6,28,79.6,0.2,998.3,34.2,581.11,15704.656
296,334,24.4,5.9,28,79.8,0.2,998.3,34,581.11,13383.713
244,279,24.3,5.9,27,80,0.2,998.3,33.7,581.11,10867.37
189,220,24.1,5.8,28,81,0.2,998.3,33.5,581.11,8198.267
140,166,23.8,5.7,28,82.1,0.2,998.3,33.3,581.11,5806.629
97,117,23.6,5.5,29,83.1,0.1,998.3,33.1,581.11,2950.991
56,70,23.3,5.4,29,84.2,0.1,998.3,33,581.11,1591.139
15,15,23,5.3,28,84.7,0.1,998.3,32.9,581.11,279.884
7,7,21.6,3.8,342,82.6,0,988.1,30.9,581.11,30.702
21,21,21.6,3.7,342,82.3,0,991,30.9,581.11,435.062
42,43,21.7,3.7,341,81.9,0,994,30.9,581.11,1166.478
67,68,21.8,3.7,341,81.5,0,996.9,31,581.11,2237.778
105,108,22,3.7,341,81.2,0,999.4,31,581.11,3888.863
155,161,22.2,3.7,344,80.5,0,997,31,581.11,6175.986
203,213,22.5,3.8,346,79.7,0,994.4,30.9,581.11,8472.01
250,262,22.8,3.9,348,79,0,991.5,30.9,581.11,10625.294
300,314,23.1,4,350,78.3,0,988.8,30.9,581.11,12925.078
353,371,23.4,4.1,352,77.6,0,988.5,30.9,581.11,15386.575
402,427,23.6,4.2,354,76.9,0,988.4,30.9,581.11,17769.529
449,476,23.9,4.3,356,76.2,0,988.6,30.9,581.11,19820.096
500,530,24.2,4.4,358,75.5,0,989.1,30.8,581.11,22064.381
555,590,24.5,4.5,359,74.8,0,992,30.8,581.11,24496.115
599,640,24.8,4.7,1,74.1,0,995,30.8,581.11,26478.766
630,673,25.1,4.8,2,73.4,0,997.8,30.8,581.11,27746.301
650,693,25.3,4.9,4,72.7,0,1000.3,30.8,581.11,28486.16
657,696,25.4,5,7,72.6,0,997.7,30.8,581.11,28573.365
666,706,25.5,5.1,9,72.6,0,994.7,30.9,581.11,28908.42
677,717,25.5,5.3,12,72.5,0,991.6,31,581.11,29339.557
688,729,25.5,5.4,14,72.5,0,988.6,31.1,581.11,29788.104
700,741,25.6,5.6,16,72.5,0,987.9,31.2,581.11,30252.957
709,752,25.6,5.7,19,72.4,0,987.6,31.3,581.11,30656.686
